label,humidity,rainfall,temperature
apple,92.3333828756,112.654779275,22.6309424132
banana,80.35812258109999,104.6269804001,27.3767983057
blackgram,65.1184255887,67.8841511832,29.9733396789
chickpea,16.8604394237,80.0589772605,18.8728467519
coconut,94.84427180610001,175.686645804,27.4098921723
coffee,58.8698463003,158.066294882,25.5404768193
cotton,79.8434742538,80.3980431193,23.988957895200002
grapes,81.8752275212,69.611828886,23.849575120049998
jute,79.6398642063,174.792797536,24.9583758265
kidneybeans,21.6053567295,105.91977754210001,20.1150846851
lentil,64.8047846785,45.680454204,24.509052402600002
maize,65.0922494467,84.766987663,22.3892039102
mango,50.1565726953,94.70451504479999,31.2087701513
mothbeans,53.16041802790001,51.198487045700006,28.1949204842
mungbean,85.49997454300001,48.403600902899996,28.5257747353
muskmelon,92.34280196089999,24.689952066,28.663065756
orange,92.17020876340001,110.47496871999999,22.7657254967
papaya,92.4033876826,142.6278388629,33.7238587388
pigeonpeas,48.0616330847,149.4575638135,27.7417622259
pomegranate,90.1255037895,107.52844239699999,21.837841721999997
rice,82.2728215389,236.181113594,23.6893322105
watermelon,85.16037529360001,50.7862189449,25.591767237499997
